model,variable,lead_h,crps,rmse,spread,spread_skill,n_inits
mme4,msl,108,77.11852461164175,192.2074191267319,140.40178098731278,0.730470143271311,181
mme4,u850,108,0.9153641865802524,1.9298285845234908,1.3193259291885966,0.683649283552488,181
mme4,v850,108,0.9731357650037732,2.093480931461187,1.4168460566694565,0.6767895686924363,181
mme4,t850,108,0.4527200547355904,1.02207346120592,0.739590643519196,0.7236178920510966,181
mme4,z500,108,76.26803445225015,189.12416270556372,138.3759454969543,0.7316671942779922,181
mme4,wind_speed,108,0.5353184644456647,1.1759048904503249,0.8348194383784552,0.7099378913704087,181
mme4,u10,114,0.0,0.0,0.0,0.0,0
mme4,v10,114,0.0,0.0,0.0,0.0,0
mme4,t2m,114,0.0,0.0,0.0,0.0,0
mme4,msl,114,0.0,0.0,0.0,0.0,0
mme4,u850,114,0.0,0.0,0.0,0.0,0
mme4,v850,114,0.0,0.0,0.0,0.0,0
mme4,t850,114,0.0,0.0,0.0,0.0,0
mme4,z500,114,0.0,0.0,0.0,0.0,0
mme4,wind_speed,114,0.0,0.0,0.0,0.0,0
mme4,u10,120,0.6747323140447224,1.5219570273193865,1.057602369653586,0.6948963411380507,181
mme4,v10,120,0.7222554935668708,1.642834303128785,1.144683680810981,0.6967736664805002,181
mme4,t2m,120,0.3480370588628619,0.9051328446325018,0.6918711609603292,0.7643863163989368,181
mme4,msl,120,90.24858730374679,225.86315698781723,164.1793721235918,0.7268975352737473,181
mme4,u850,120,1.0210885519912674,2.172205230149116,1.494688498381093,0.6880972744359365,181
mme4,v850,120,1.075407252874712,2.3512029134107557,1.6055380369418233,0.682858135205677,181
mme4,t850,120,0.5155387165497674,1.1673079880561619,0.8335880670099627,0.7141115074506428,181
mme4,z500,120,90.4987100366721,225.05176253345132,163.80776952248252,0.727867081237075,181
mme4,wind_speed,120,0.598265551163101,1.313820645295454,0.9425386667910202,0.7174028435053711,181
